ur.014020143303.37 ur.01254140404.14 5 0 0 0
ur.010567642635.16 ur.01234616714.05 5 0 1 0
ur.01226307132.34 ur.01335612470.01 13 0 1 0
ur.0727546701.69 ur.01362152061.09 6 0 1 0
ur.01316426720.97 ur.0753376525.03 5 0 1 0
ur.01316426720.97 ur.0645346622.27 5 0 0 0
ur.0753376525.03 ur.0645346622.27 5 0 1 0
ur.01216625557.01 ur.0575524460.01 5 0 1 0
ur.01216625557.01 ur.0764476515.34 5 0 0 0
ur.01216625557.01 ur.01171666063.08 5 0 1 0
ur.01216625557.01 ur.01361106505.29 5 0 1 0
ur.01216625557.01 ur.010007171507.81 5 0 0 0
ur.01216625557.01 ur.07626225461.96 5 0 0 0
ur.01216625557.01 ur.01234617642.20 5 0 1 0
ur.01216625557.01 ur.01007705135.14 5 0 1 0
ur.01216625557.01 ur.0740504322.35 5 0 1 0
ur.01216625557.01 ur.0705273702.09 5 0 1 0
ur.0575524460.01 ur.0764476515.34 5 0 1 0
ur.0575524460.01 ur.01171666063.08 6 0 0 0
ur.0575524460.01 ur.01361106505.29 6 0 0 0
ur.0575524460.01 ur.010007171507.81 5 0 1 0
ur.0575524460.01 ur.07626225461.96 5 0 1 0
ur.0575524460.01 ur.01234617642.20 6 0 0 0
ur.0575524460.01 ur.0705221164.37 5 0 1 0
ur.0575524460.01 ur.01007705135.14 5 0 1 0
ur.0575524460.01 ur.0740504322.35 6 0 1 0
ur.0575524460.01 ur.01362152061.09 5 0 1 0
ur.0575524460.01 ur.0705273702.09 6 0 0 0
ur.0764476515.34 ur.01171666063.08 5 0 1 0
ur.0764476515.34 ur.01361106505.29 5 0 1 0
ur.0764476515.34 ur.010007171507.81 5 0 0 0
ur.0764476515.34 ur.07626225461.96 5 0 0 0
ur.0764476515.34 ur.01234617642.20 5 0 1 0
ur.0764476515.34 ur.01007705135.14 5 0 1 0
ur.0764476515.34 ur.0740504322.35 5 0 1 0
ur.0764476515.34 ur.0705273702.09 5 0 1 0
ur.012545740407.72 ur.0624300200.25 5 0 1 0
ur.012545740407.72 ur.01211300560.60 5 0 1 0
ur.012545740407.72 ur.01016642722.58 5 0 1 0
ur.012545740407.72 ur.0666427010.44 5 0 1 0
ur.012545740407.72 ur.01075052160.66 5 0 1 0
ur.01171666063.08 ur.01361106505.29 6 0 0 0
ur.01171666063.08 ur.010007171507.81 5 0 1 0
ur.01171666063.08 ur.07626225461.96 5 0 1 0
ur.01171666063.08 ur.01234617642.20 6 0 0 0
ur.01171666063.08 ur.0705221164.37 5 0 1 0
ur.01171666063.08 ur.01007705135.14 5 0 1 0
ur.01171666063.08 ur.0740504322.35 6 0 1 0
ur.01171666063.08 ur.01362152061.09 5 0 1 0
ur.01171666063.08 ur.0705273702.09 6 0 0 0
ur.01361106505.29 ur.010007171507.81 5 0 1 0
ur.01361106505.29 ur.07626225461.96 5 0 1 0
ur.01361106505.29 ur.01234617642.20 6 0 0 0
ur.01361106505.29 ur.0705221164.37 5 0 1 0
ur.01361106505.29 ur.01007705135.14 5 0 1 0
ur.01361106505.29 ur.0740504322.35 6 0 1 0
ur.01361106505.29 ur.01362152061.09 5 0 1 0
ur.01361106505.29 ur.0705273702.09 6 0 0 0
ur.010007171507.81 ur.07626225461.96 5 0 0 0
ur.010007171507.81 ur.01234617642.20 5 0 1 0
ur.010007171507.81 ur.01007705135.14 5 0 1 0
ur.010007171507.81 ur.0740504322.35 5 0 1 0
ur.010007171507.81 ur.0705273702.09 5 0 1 0
ur.07626225461.96 ur.01234617642.20 5 0 1 0
ur.07626225461.96 ur.01007705135.14 5 0 1 0
ur.07626225461.96 ur.0740504322.35 5 0 1 0
ur.07626225461.96 ur.0705273702.09 5 0 1 0
ur.01234617642.20 ur.0705221164.37 5 0 1 0
ur.01234617642.20 ur.01007705135.14 5 0 1 0
ur.01234617642.20 ur.0740504322.35 6 0 1 0
ur.01234617642.20 ur.01362152061.09 5 0 1 0
ur.01234617642.20 ur.0705273702.09 6 0 0 0
ur.0705221164.37 ur.0740504322.35 5 0 1 0
ur.0705221164.37 ur.01362152061.09 5 0 1 0
ur.0705221164.37 ur.0705273702.09 5 0 1 0
ur.0624300200.25 ur.01211300560.60 5 0 0 0
ur.0624300200.25 ur.01016642722.58 5 0 0 0
ur.0624300200.25 ur.0666427010.44 5 0 0 0
ur.0624300200.25 ur.01075052160.66 5 0 0 0
ur.01211300560.60 ur.01016642722.58 5 0 0 0
ur.01211300560.60 ur.0666427010.44 5 0 0 0
ur.01211300560.60 ur.01075052160.66 5 0 0 0
ur.01016642722.58 ur.0666427010.44 5 0 0 0
ur.01016642722.58 ur.01075052160.66 5 0 0 0
ur.0666427010.44 ur.01075052160.66 5 0 0 0
ur.01007705135.14 ur.0740504322.35 10 0 1 0
ur.01007705135.14 ur.016502045317.57 8 0 1 0
ur.01007705135.14 ur.01362152061.09 7 0 1 0
ur.01007705135.14 ur.0705273702.09 5 0 1 0
ur.0740504322.35 ur.016502045317.57 7 0 1 0
ur.0740504322.35 ur.01362152061.09 9 0 1 0
ur.0740504322.35 ur.0705273702.09 6 0 1 0
ur.016502045317.57 ur.01362152061.09 6 0 1 0
ur.01362152061.09 ur.0705273702.09 5 0 1 0
ur.0710221751.52 ur.01371353751.20 6 0 1 0
ur.0671162424.26 ur.01005411024.36 5 0 0 0
ur.01271117725.82 ur.01041525526.29 6 0 1 0
ur.01271117725.82 ur.01264275476.71 6 0 1 0
ur.012033255775.10 ur.01041525526.29 5 0 1 0
ur.012002624665.62 ur.01041525526.29 6 0 1 0
ur.012002624665.62 ur.01264275476.71 6 0 1 0
ur.01041525526.29 ur.01264275476.71 19 0 1 0
ur.0732615743.57 ur.012334173222.84 6 1 1 0
ur.0736436621.30 ur.0677766240.18 5 1 1 0
ur.0736436621.30 ur.0677641026.27 5 1 1 0
ur.0736436621.30 ur.01122252152.25 7 1 1 0
ur.0736436621.30 ur.0716277262.33 5 1 1 0
ur.0736436621.30 ur.013066440515.53 6 0 1 0
ur.0677641026.27 ur.0716277262.33 5 0 0 0
ur.016125102751.39 ur.011002362775.42 7 0 0 0
ur.016125102751.39 ur.01002722361.91 7 1 1 0
ur.016125102751.39 ur.0740360235.81 6 1 1 0
ur.016125102751.39 ur.01252156734.48 7 0 1 0
ur.011002362775.42 ur.01002722361.91 7 1 1 0
ur.011002362775.42 ur.0740360235.81 6 1 1 0
ur.011002362775.42 ur.01252156734.48 7 0 1 0
ur.01002722361.91 ur.0740360235.81 7 0 1 0
ur.01002722361.91 ur.01252156734.48 7 1 1 0
ur.0740360235.81 ur.01252156734.48 6 1 1 0
ur.012033334207.54 ur.013777475424.68 7 0 1 0
ur.012033334207.54 ur.010103222345.14 8 0 1 0
ur.013777475424.68 ur.010103222345.14 6 0 1 0
ur.014014456625.90 ur.07453353357.09 15 0 1 0
ur.015003650667.64 ur.01320005566.32 5 0 1 0
ur.0650577521.38 ur.01203523034.24 7 1 0 0
ur.01310657647.41 ur.01152513411.13 27 1 1 1
ur.013727704707.51 ur.011103423633.28 9 0 0 0
ur.012540720070.92 ur.01041307636.62 5 0 1 0
ur.0775151634.79 ur.014170563271.59 5 0 1 0
ur.0775151634.79 ur.01322656721.17 7 0 1 0
ur.0775151634.79 ur.01114025171.91 6 0 1 0
ur.0775151634.79 ur.01001476405.17 7 0 1 0
ur.0775151634.79 ur.0723435536.66 7 0 1 0
ur.0775151634.79 ur.01143233707.33 6 0 1 0
ur.0775151634.79 ur.07403155541.25 6 0 1 0
ur.0775151634.79 ur.016345352071.21 6 0 1 0
ur.0775151634.79 ur.07456645400.96 5 0 1 0
ur.0775151634.79 ur.01037027174.72 7 0 1 0
ur.0775151634.79 ur.011775126657.84 5 0 1 0
ur.0775151634.79 ur.01264275476.71 7 0 1 0
ur.0775151634.79 ur.0665250005.15 8 0 1 0
ur.0775151634.79 ur.01041525526.29 8 0 1 0
ur.014170563271.59 ur.01322656721.17 6 0 1 0
ur.014170563271.59 ur.01114025171.91 8 0 1 0
ur.014170563271.59 ur.01001476405.17 10 0 1 0
ur.014170563271.59 ur.0723435536.66 8 0 1 0
ur.014170563271.59 ur.01037027174.72 7 0 1 0
ur.014170563271.59 ur.01264275476.71 7 0 1 0
ur.014170563271.59 ur.0665250005.15 13 0 1 0
ur.014170563271.59 ur.01041525526.29 14 0 1 0
ur.01322656721.17 ur.01114025171.91 8 0 1 0
ur.01322656721.17 ur.01001476405.17 9 0 1 0
ur.01322656721.17 ur.0723435536.66 8 0 1 0
ur.01322656721.17 ur.01143233707.33 5 0 1 0
ur.01322656721.17 ur.07403155541.25 6 0 1 0
ur.01322656721.17 ur.016345352071.21 6 0 1 0
ur.01322656721.17 ur.07456645400.96 5 0 1 0
ur.01322656721.17 ur.01037027174.72 8 0 1 0
ur.01322656721.17 ur.011775126657.84 5 0 1 0
ur.01322656721.17 ur.01264275476.71 9 0 1 0
ur.01322656721.17 ur.0665250005.15 11 0 1 0
ur.01322656721.17 ur.01041525526.29 11 0 1 0
ur.01114025171.91 ur.01001476405.17 9 0 1 0
ur.01114025171.91 ur.0723435536.66 10 0 0 0
ur.01114025171.91 ur.01143233707.33 5 0 1 0
ur.01114025171.91 ur.07403155541.25 6 0 1 0
ur.01114025171.91 ur.016345352071.21 5 0 1 0
ur.01114025171.91 ur.07456645400.96 5 0 1 0
ur.01114025171.91 ur.01037027174.72 8 0 1 0
ur.01114025171.91 ur.011775126657.84 5 0 1 0
ur.01114025171.91 ur.01264275476.71 10 0 1 0
ur.01114025171.91 ur.0665250005.15 10 0 1 0
ur.01114025171.91 ur.01041525526.29 10 0 1 0
ur.01001476405.17 ur.0723435536.66 11 0 1 0
ur.01001476405.17 ur.01143233707.33 5 0 1 0
ur.01001476405.17 ur.07403155541.25 6 0 1 0
ur.01001476405.17 ur.016345352071.21 6 0 1 0
ur.01001476405.17 ur.011236726534.85 6 0 1 0
ur.01001476405.17 ur.07456645400.96 5 0 1 0
ur.01001476405.17 ur.01037027174.72 10 0 1 0
ur.01001476405.17 ur.011775126657.84 5 0 1 0
ur.01001476405.17 ur.01264275476.71 12 0 1 0
ur.01001476405.17 ur.0665250005.15 17 0 1 0
ur.01001476405.17 ur.01041525526.29 20 0 1 0
ur.0723435536.66 ur.01143233707.33 6 0 1 0
ur.0723435536.66 ur.07403155541.25 6 0 1 0
ur.0723435536.66 ur.016345352071.21 5 0 1 0
ur.0723435536.66 ur.011236726534.85 6 0 1 0
ur.0723435536.66 ur.07456645400.96 5 0 1 0
ur.0723435536.66 ur.01037027174.72 11 0 1 0
ur.0723435536.66 ur.011775126657.84 5 0 1 0
ur.0723435536.66 ur.01264275476.71 10 0 1 0
ur.0723435536.66 ur.0665250005.15 12 0 1 0
ur.0723435536.66 ur.01041525526.29 11 0 1 0
ur.01143233707.33 ur.07403155541.25 5 0 1 0
ur.01143233707.33 ur.016345352071.21 5 0 1 0
ur.01143233707.33 ur.01037027174.72 6 0 1 0
ur.01143233707.33 ur.011775126657.84 5 0 1 0
ur.01143233707.33 ur.01264275476.71 5 0 1 0
ur.01143233707.33 ur.0665250005.15 6 0 1 0
ur.01143233707.33 ur.01041525526.29 6 0 1 0
ur.07403155541.25 ur.016345352071.21 5 0 1 0
ur.07403155541.25 ur.07456645400.96 5 0 1 0
ur.07403155541.25 ur.01037027174.72 6 0 1 0
ur.07403155541.25 ur.011775126657.84 5 0 1 0
ur.07403155541.25 ur.01264275476.71 6 0 1 0
ur.07403155541.25 ur.0665250005.15 6 0 1 0
ur.07403155541.25 ur.01041525526.29 6 0 1 0
ur.016345352071.21 ur.01037027174.72 5 0 1 0
ur.016345352071.21 ur.011775126657.84 5 0 1 0
ur.016345352071.21 ur.01264275476.71 6 0 1 0
ur.016345352071.21 ur.0665250005.15 6 0 1 0
ur.016345352071.21 ur.01041525526.29 6 0 1 0
ur.011236726534.85 ur.01037027174.72 6 0 1 0
ur.011236726534.85 ur.0665250005.15 6 0 1 0
ur.07456645400.96 ur.01037027174.72 5 0 1 0
ur.07456645400.96 ur.01264275476.71 5 0 1 0
ur.07456645400.96 ur.0665250005.15 5 0 1 0
ur.07456645400.96 ur.01041525526.29 5 0 1 0
ur.01037027174.72 ur.011775126657.84 5 0 1 0
ur.01037027174.72 ur.01264275476.71 8 0 1 0
ur.01037027174.72 ur.0665250005.15 11 0 1 0
ur.01037027174.72 ur.01041525526.29 9 0 1 0
ur.011775126657.84 ur.01264275476.71 5 0 1 0
ur.011775126657.84 ur.0665250005.15 5 0 1 0
ur.011775126657.84 ur.01041525526.29 5 0 1 0
ur.01264275476.71 ur.0665250005.15 12 0 1 0
ur.0665250005.15 ur.01041525526.29 24 0 1 0
ur.0766154452.76 ur.01210713730.02 5 0 1 0
ur.0756432604.20 ur.015513471033.97 5 0 1 0
ur.0756432604.20 ur.0620401771.51 5 0 1 0
ur.0756432604.20 ur.013025262125.67 5 0 1 0
ur.0756432604.20 ur.010214276737.63 5 0 1 0
ur.0756432604.20 ur.01041525526.29 6 1 1 0
ur.0756432604.20 ur.01016630446.33 6 1 1 0
ur.0756432604.20 ur.016107031141.43 6 1 1 0
ur.0756432604.20 ur.015152116605.52 5 1 1 0
ur.0756432604.20 ur.011430176737.55 5 1 1 0
ur.0756432604.20 ur.07425035470.69 7 0 1 0
ur.0620401771.51 ur.01041525526.29 5 1 1 0
ur.0620401771.51 ur.01016630446.33 5 1 1 0
ur.0620401771.51 ur.016107031141.43 5 1 1 0
ur.013025262125.67 ur.010214276737.63 5 0 0 0
ur.013025262125.67 ur.07425035470.69 5 0 1 0
ur.010214276737.63 ur.07425035470.69 5 0 1 0
ur.01041525526.29 ur.01016630446.33 6 1 1 0
ur.01041525526.29 ur.016107031141.43 6 1 1 0
ur.01041525526.29 ur.015152116605.52 5 1 1 0
ur.01041525526.29 ur.011430176737.55 5 1 1 0
ur.01041525526.29 ur.07425035470.69 5 1 1 0
ur.01016630446.33 ur.016107031141.43 6 1 1 0
ur.01016630446.33 ur.015152116605.52 5 1 1 0
ur.01016630446.33 ur.011430176737.55 5 1 1 0
ur.01016630446.33 ur.07425035470.69 5 1 1 0
ur.016107031141.43 ur.015152116605.52 5 1 1 0
ur.016107031141.43 ur.011430176737.55 5 1 1 0
ur.016107031141.43 ur.07425035470.69 5 1 1 0
ur.015152116605.52 ur.011430176737.55 5 1 1 0
ur.015152116605.52 ur.07425035470.69 5 1 1 0
ur.011430176737.55 ur.07425035470.69 5 1 1 0
ur.01067566551.07 ur.0651753653.00 5 0 1 0
ur.01067566551.07 ur.012101447407.49 5 0 1 0
ur.012600740261.14 ur.012501436222.04 5 0 1 0
ur.012600740261.14 ur.01024345025.82 5 0 1 0
ur.0651753653.00 ur.012101447407.49 5 0 1 0
ur.012501436222.04 ur.01024345025.82 6 0 1 0
ur.014102720422.47 ur.016343000657.11 5 1 1 0
